X;Y;Zgauss
3.50;9.50;25.27500267
8.50;18.50;11.26698113
1.50;29.50;9.048033113
5.50;38.50;6.435675541
2.50;42.50;16.8059257
11.50;8.50;10.84804299
13.50;17.50;14.95702548
11.50;20.50;0.9822924
11.50;36.50;18.6622402
14.50;44.50;14.00087322
28.50;3.50;15.6314129
29.50;13.50;9.204545944
27.50;26.50;16.45893813
28.50;37.50;21.79545406
25.50;40.50;18.13356846
38.50;2.50;13.35208221
30.50;16.50;8.347114874
30.50;23.50;15.21628363
35.50;36.50;19.42559761
32.50;44.50;23.40862807
44.50;4.50;14.82679848
43.50;17.50;12.95824434
46.50;20.50;16.61025495
40.50;38.50;13.30053278
40.50;45.50;18.91829117
